id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
4684173,O'Mega Blake,South Carolina,1,-2.781,-2.781,-2.781,,WR,2021
4257610,Jake Hescock,UCF,1,-2.438,-2.438,-2.438,,TE,2021
4372715,Robby Rowell,California,1,-1.676,-1.676,-1.676,,QB,2021
4428538,Tyetus Smith-Lindsey,UAB,1,-1.643,-1.643,,-1.643,RB,2021
4692557,Dee Beckwith,Tennessee,1,-1.514,-1.514,,-1.514,RB,2021
4682828,Gabriel Watson,Texas,2,-1.418,-2.836,,-2.836,RB,2021
4613105,Miles Davis,BYU,1,-1.263,-1.263,,-1.263,RB,2021
4685123,Tank Smith,Penn State,4,-1.202,-4.807,,-4.807,RB,2021
4432220,Tyrese Grant,Wyoming,1,-1.161,-1.161,,-1.161,WR,2021
4431557,Teddy Knox,Mississippi State,1,-1.153,-1.153,-1.153,,WR,2021
4696561,Jacob Conover,BYU,1,-1.114,-1.114,-1.114,,QB,2021
4428858,Cam Wiley,Minnesota,6,-1.096,-6.573,,-6.573,RB,2021
4372000,John Stephen Jones,Arkansas,1,-1.041,-1.041,-1.041,,QB,2021
4572041,Danny Hughes,Michigan,3,-1.036,-3.108,-3.128,0.02,RB,2021
4244308,Davion Johnson,Miami (OH),8,-0.978,-7.82,-6.44,-1.38,RB,2021
4875831,Mason Courtney,Tulane,2,-0.977,-1.954,,-1.954,RB,2021
4577303,Cade Ballard,Army,9,-0.97,-8.732,-10.7,1.968,QB,2021
4570217,James Phillips,Hawai'i,5,-0.97,-4.85,-3.285,-1.566,WR,2021
4361293,Thomas Pannunzio,Colorado State,2,-0.964,-1.928,,-1.928,WR,2021
4569927,Talmage Gunther,BYU,1,-0.957,-0.957,-0.957,,WR,2021
4372756,Leo Albano,Notre Dame,1,-0.913,-0.913,,-0.913,RB,2021
4430829,Michael Alaimo,Purdue,1,-0.871,-0.871,-0.871,,QB,2021
4362609,Akeem Hayes,Arkansas State,1,-0.871,-0.871,-0.871,,WR,2021
4432663,Dylan Betts-Pauley,Vanderbilt,2,-0.788,-1.577,,-1.577,RB,2021
4431256,Cristian Dixon,Michigan,3,-0.781,-2.344,-2.344,,WR,2021
4682628,Trey Urwiler,Northern Illinois,1,-0.78,-0.78,-0.78,,WR,2021
4363072,Matthew Smith,Western Kentucky,1,-0.779,-0.779,-0.779,,WR,2021
