id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
4569399,Mark Richardson,Texas Tech,2,-3.755,-7.51,,-7.51,WR,2019
4043033,Jaret Curtis,Western Michigan,1,-3.599,-3.599,,-3.599,WR,2019
4570200,Jack Bradley,Rice,1,-3.315,-3.315,-3.315,,TE,2019
4036065,Thomas MacVittie,Kansas,1,-3.077,-3.077,-3.077,,QB,2019
4575558,Josh Kelly,Fresno State,1,-2.669,-2.669,-2.669,,WR,2019
4361737,Blake Clark,Iowa State,1,-2.508,-2.508,-2.508,,QB,2019
4427313,Ta'Quan Roberson,Penn State,2,-2.188,-4.375,-4.017,-0.358,QB,2019
4430686,Grant Wells,Marshall,1,-2.094,-2.094,,-2.094,QB,2019
4243470,Steven Witchoskey,Western Kentucky,1,-1.835,-1.835,-1.835,,TE,2019
4046846,Andrew Zuckerman,Tulane,1,-1.572,-1.572,,-1.572,WR,2019
4037121,Rex Culpepper,Syracuse,2,-1.481,-2.961,-0.939,-2.022,QB,2019
4240850,Lindell Stone,Virginia,3,-1.448,-4.344,-2.59,-1.754,QB,2019
4372180,Logan Ammons,Tulane,1,-1.315,-1.315,,-1.315,WR,2019
3917615,Alex Mussat,Western Michigan,1,-1.287,-1.287,-1.287,,WR,2019
4259726,Greg Latushko,Coastal Carolina,1,-1.242,-1.242,,-1.242,WR,2019
4240411,Sharod Johnson,Syracuse,1,-1.153,-1.153,-1.153,,WR,2019
4374379,Jonah Fitzgerald,Old Dominion,1,-1.143,-1.143,-1.143,,QB,2019
4578267,Dane Kinamon,Air Force,1,-1.139,-1.139,,-1.139,WR,2019
4361092,Austin Osborne,Washington,1,-1.083,-1.083,-1.083,,WR,2019
4039284,Terry Mark,Houston,1,-1.021,-1.021,-1.021,,WR,2019
4372782,Joe Wilkins,Notre Dame,1,-1.015,-1.015,-1.015,,WR,2019
4240580,Max Cooper,Iowa,1,-1.003,-1.003,-1.003,,WR,2019
4428090,Bradley Archer,Stanford,1,-0.992,-0.992,-0.992,,TE,2019
4430596,Keshawn Toney,South Carolina,1,-0.986,-0.986,-0.986,,TE,2019
4569400,Chux Nwabuko III,Texas Tech,1,-0.963,-0.963,,-0.963,RB,2019
4371846,Tyger Goslin,Navy,4,-0.959,-3.835,,-3.835,RB,2019
4379395,Tommy Bush,Georgia,1,-0.923,-0.923,-0.923,,WR,2019
