id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
3917614,Caleb Reams,Illinois,5,1.026,5.128,5.128,,WR,2018
3921636,Collin Olsen,Florida International,1,1.027,1.027,1.027,,RB,2018
4258173,Nico Collins,Michigan,50,1.028,51.386,51.386,,WR,2018
3120349,Jalen Greene,Utah State,60,1.028,61.662,61.662,,WR,2018
4036133,T.J. Hockenson,Iowa,65,1.028,66.792,60.146,6.646,TE,2018
3121650,C'yontai Lewis,Florida,11,1.029,11.322,11.322,,TE,2018
4373662,Billy Bowens,Boise State,1,1.03,1.03,,1.03,WR,2018
4239966,Marcus Bennett,Air Force,35,1.042,36.475,36.475,,WR,2018
546537,Ryan Jenkins,Arizona State,6,1.043,6.259,6.259,,WR,2018
4365473,Chris Barrett,Liberty,2,1.052,2.104,2.104,,TE,2018
4361074,CJ Worton,Florida International,54,1.057,57.079,57.079,,WR,2018
4240653,Evidence Njoku,Miami,1,1.059,1.059,1.059,,TE,2018
4363098,Johnny Lumpkin,Louisiana,7,1.06,7.418,7.418,,TE,2018
4382466,Jalen Nailor,Michigan State,20,1.065,21.297,14.288,7.009,WR,2018
4257188,Charlie Jones,Buffalo,30,1.065,31.944,31.944,,WR,2018
4360306,Justyn Ross,Clemson,65,1.074,69.792,69.792,,WR,2018
4239830,Xavier Ubosi,UAB,57,1.077,61.378,61.378,,WR,2018
3929953,Chris Cunningham,Virginia Tech,9,1.084,9.752,9.752,,TE,2018
3116573,Davis Koppenhaver,Duke,18,1.084,19.506,19.506,,TE,2018
4036835,Parker Houston,San Diego State,17,1.084,18.43,18.43,,TE,2018
4261629,Tim Wilson Jr.,San Diego State,27,1.085,29.288,29.288,,WR,2018
3916653,Bryce Kemp,Eastern Michigan,6,1.086,6.515,6.515,,TE,2018
4242392,Brock Wright,Notre Dame,3,1.087,3.262,3.262,,TE,2018
3925343,Daylon Charlot,Kansas,14,1.089,15.247,15.247,,WR,2018
4371974,Seth Williams,Auburn,41,1.089,44.629,44.629,,WR,2018
4038813,Randrecous Davis,South Carolina,2,1.092,2.185,2.185,,WR,2018
4239084,Javan Hawes,Cincinnati,4,1.093,4.374,4.374,,WR,2018
4372039,Dontay Demus,Maryland,18,1.098,19.767,19.767,,WR,2018
4036066,Aaron Mathews,Pittsburgh,11,1.102,12.122,12.122,,WR,2018
4244610,Reed Martin,Tulsa,2,1.104,2.208,,2.208,RB,2018
3916071,Gary Jennings,West Virginia,70,1.108,77.549,77.549,,WR,2018
4362668,Javen Banks,Texas State,15,1.111,16.658,16.871,-0.214,WR,2018
4039599,Devaughn Cooper,Arizona,21,1.114,23.396,23.396,,WR,2018
3127227,Jake Ashton,California,2,1.115,2.23,2.23,,TE,2018
4240176,Jaylen Hall,Western Michigan,14,1.115,15.607,15.607,,WR,2018
3916214,Hunter Thedford,SMU,3,1.122,3.366,3.366,,TE,2018
4360635,Chigoziem Okonkwo,Maryland,13,1.122,14.586,5.161,9.425,TE,2018
4243755,Ryan Mitchell,Navy,5,1.128,5.642,5.642,,WR,2018
559580,Jacob August,South Carolina,9,1.128,10.149,10.149,,TE,2018
4240688,Jeremiah Holloman,Georgia,30,1.129,33.859,33.859,,WR,2018
3924318,Emanuel Hall,Missouri,52,1.129,58.723,58.723,,WR,2018
4037591,Joe Reed,Virginia,37,1.129,41.76,41.475,0.285,WR,2018
4036838,Isiah Macklin,San Diego State,6,1.131,6.786,6.786,,WR,2018
4258604,Michael Young,Notre Dame,9,1.132,10.19,10.19,,WR,2018
4241397,Charleston Rambo,Oklahoma,9,1.133,10.196,10.196,,WR,2018
4239099,Trent Cloud,Cincinnati,6,1.135,6.811,6.811,,WR,2018
4239411,Mydreon Vines,East Carolina,13,1.136,14.766,14.766,,WR,2018
4035703,Cary Angeline,NC State,10,1.14,11.404,11.404,,TE,2018
4241389,CeeDee Lamb,Oklahoma,84,1.144,96.105,96.105,,WR,2018
4363523,Line Latu,Eastern Michigan,29,1.144,33.172,32.838,0.333,WR,2018
3676818,TreVontae Hights,TCU,4,1.151,4.604,4.604,,WR,2018
4039475,Corey Lersch,Northern Illinois,7,1.152,8.067,8.067,,TE,2018
3915174,Terry Godwin,Georgia,28,1.152,32.247,32.247,,WR,2018
4362163,Caden Leggett,Texas Tech,1,1.152,1.152,1.152,,WR,2018
3707332,Dahu Green,Arkansas State,2,1.155,2.311,2.311,,WR,2018
3124547,Kyle Riddering,Fresno State,7,1.156,8.089,8.089,,TE,2018
3121659,Moral Stephens,Florida,9,1.157,10.415,10.415,,TE,2018
4372016,Jaylen Waddle,Alabama,51,1.157,59.004,59.004,,WR,2018
3139923,Fred Trevillion,San Diego State,38,1.164,44.234,47.962,-3.728,WR,2018
4039388,Anselem Umeh,New Mexico,20,1.166,23.327,23.327,,WR,2018
4240844,Jamari Peacock,Virginia,2,1.166,2.331,2.672,-0.34,FB,2018
3949058,Travon Williams,Temple,7,1.168,8.178,5.12,3.058,WR,2018
4034943,Dre Massey,Florida,1,1.168,1.168,1.168,,WR,2018
4360575,Malachi Carter,Georgia Tech,5,1.168,5.839,5.839,,WR,2018
3122877,Raelon Singleton,Houston,18,1.17,21.065,21.065,,WR,2018
