id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
558000,Evan Wilson,South Florida,1,-4.3,-4.3,,-4.3,QB,2015
531981,Ladarius Banks,Vanderbilt,1,-4.146,-4.146,,-4.146,FB,2015
3914819,Victor Gonzalez,Nevada,1,-2.314,-2.314,-2.314,,WR,2015
3124040,Greg Campbell Jr.,UT San Antonio,1,-2.251,-2.251,-2.251,,WR,2015
549939,Ben Grazen,NC State,1,-1.915,-1.915,,-1.915,WR,2015
559628,T.V. Williams,Kentucky,1,-1.859,-1.859,-1.859,,WR,2015
550504,Cody Thomas,Oklahoma,3,-1.347,-4.041,-4.041,,QB,2015
537722,Conner Sullivan,USC,1,-1.33,-1.33,,-1.33,QB,2015
514440,Terrel Hunt,Syracuse,3,-1.283,-3.85,-3.22,-0.63,QB,2015
3126358,Derek Kief,Alabama,1,-1.198,-1.198,-1.198,,WR,2015
3932440,C.J. Sanders,Notre Dame,1,-1.159,-1.159,-1.159,,WR,2015
3139535,Tony Ray Parnell,South Alabama,1,-1.159,-1.159,-1.159,,WR,2015
3916786,Luke Langdon,Army,1,-1.15,-1.15,-1.15,,QB,2015
3126127,Lucas Bezerra,Western Michigan,1,-1.066,-1.066,-1.066,,TE,2015
3125059,Zach Davidson,Kansas State,1,-1.059,-1.059,-1.059,,QB,2015
535945,Josh Anderson,Notre Dame,2,-1.021,-2.043,,-2.043,RB,2015
3692779,Da'Vante Phillips,Florida State,1,-0.936,-0.936,-0.936,,WR,2015
3127262,Squally Canada,BYU,1,-0.887,-0.887,,-0.887,RB,2015
3124661,Patrick Reed,New Mexico,1,-0.887,-0.887,-0.887,,WR,2015
3124662,JaJuan Lawson,New Mexico,1,-0.885,-0.885,,-0.885,QB,2015
3125767,Chris Merchant,Buffalo,1,-0.877,-0.877,-0.877,,QB,2015
3124028,Doni Dowling,Virginia,4,-0.81,-3.241,-3.241,,WR,2015
3928856,Jacob Hill,Syracuse,2,-0.802,-1.605,-0.435,-1.17,RB,2015
3123736,Thomas Banks,Georgia Southern,7,-0.796,-5.571,,-5.571,RB,2015
3864113,Brandon Singleton,California,1,-0.795,-0.795,-0.795,,WR,2015
519812,Garrett Krstich,SMU,4,-0.791,-3.163,-5.115,1.952,QB,2015
533331,Andrew Scanlan,Northwestern,1,-0.783,-0.783,-0.783,,WR,2015
547566,Christian Cumberlander,San Diego State,2,-0.777,-1.554,-1.554,,WR,2015
547300,Thomas Kennedy,Liberty,2,-0.764,-1.528,-0.347,-1.181,FB,2015
3125486,KE'Marvin Pitts,Troy,7,-0.763,-5.343,,-5.343,WR,2015
515199,Stanton Weber,Kansas State,2,-0.762,-1.524,-1.524,,WR,2015
3122094,John David Moore,LSU,1,-0.745,-0.745,-0.745,,FB,2015
546423,Robby Kolanz,USC,1,-0.723,-0.723,-0.723,,WR,2015
517507,Caden Smith,Texas A&M,2,-0.711,-1.421,-1.421,,TE,2015
3912571,Kyle Fulks,Utah,1,-0.703,-0.703,,-0.703,WR,2015
3139486,Payne Sullins,Texas Tech,1,-0.703,-0.703,,-0.703,QB,2015
3124865,Jonathan Lytle,Georgia State,1,-0.687,-0.687,,-0.687,FB,2015
3139381,Keaton Perry,Kansas,8,-0.681,-5.447,-2.222,-3.225,WR,2015
3116430,Stacy Boyd,TCU,3,-0.675,-2.024,,-2.024,RB,2015
3125796,Ryan Lamb,Central Michigan,2,-0.662,-1.323,-0.707,-0.616,QB,2015
3917205,Ryan Brown,Georgia Southern,1,-0.659,-0.659,,-0.659,RB,2015
530672,Cameron Tucker,Illinois,7,-0.658,-4.607,,-4.607,RB,2015
546710,Da'Mario Jones,Michigan,1,-0.65,-0.65,-0.65,,WR,2015
3122972,Josh Greer,North Texas,26,-0.632,-16.42,-15.034,-1.387,QB,2015
518103,Jarrod Lynn,North Texas,4,-0.631,-2.525,-0.863,-1.662,FB,2015
3895848,Chad Hanaoka,Northwestern,1,-0.63,-0.63,,-0.63,RB,2015
3116574,Chris Taylor,Duke,7,-0.616,-4.313,-4.313,,WR,2015
547174,Kwamane Bowens,Texas State,2,-0.605,-1.21,-1.21,,WR,2015
551187,William Stanback,UCF,13,-0.602,-7.824,-1.096,-6.729,RB,2015
3122130,Jamal Jeffery,Texas A&M,3,-0.6,-1.801,-1.735,-0.066,WR,2015
3931770,Raylen Elzy,Marshall,4,-0.596,-2.384,-2.384,,WR,2015
547258,Kameron Doolittle,Oklahoma State,2,-0.584,-1.167,-1.167,,WR,2015
552726,Drew Van Maanen,Wyoming,2,-0.581,-1.162,-1.162,,FB,2015
3115964,Freddy Canteen,Michigan,3,-0.575,-1.724,-1.724,,WR,2015
3917553,Marquan Greene,Georgia State,7,-0.574,-4.02,-3.432,-0.587,WR,2015
3152673,Mark Saari,Wisconsin,3,-0.563,-1.689,,-1.689,RB,2015
534327,Joe Riddle,Maryland,2,-0.549,-1.098,,-1.098,RB,2015
552876,Tyre'oune Holmes,Southern Mississippi,2,-0.546,-1.091,-1.091,,WR,2015
546073,Nathan Echard,Illinois,5,-0.537,-2.684,-2.684,,TE,2015
531958,Devin Campbell,Buffalo,3,-0.536,-1.607,-0.139,-1.468,WR,2015
3124965,D'Marius Gillespie,Louisiana Monroe,15,-0.511,-7.665,-7.665,,WR,2015
534280,Warren Ball,Ohio State,9,-0.51,-4.587,-0.114,-4.473,RB,2015
533314,Malin Jones,Louisville,1,-0.51,-0.51,,-0.51,RB,2015
3925346,Derrick Gore,Alabama,5,-0.5,-2.502,,-2.502,RB,2015
531747,Jack Fields,Boise State,9,-0.5,-4.496,,-4.496,RB,2015
3124667,Diquon Woodhouse,New Mexico,7,-0.499,-3.491,,-3.491,RB,2015
3929927,Karan Higdon,Michigan,13,-0.492,-6.399,-0.849,-5.55,RB,2015
3122111,Thomas Richard,Missouri,2,-0.491,-0.983,-0.983,,WR,2015
512690,Montrel Carter,Louisiana,12,-0.474,-5.693,-2.011,-3.682,RB,2015
3154545,Pereese Joas,Hawai'i,2,-0.466,-0.931,,-0.931,RB,2015
546707,Henry Poggi,Michigan,1,-0.453,-0.453,-0.453,,FB,2015
547303,Stephon Masha,Liberty,1,-0.438,-0.438,-0.438,,QB,2015
3895789,Quadree Henderson,Pittsburgh,4,-0.435,-1.738,-1.01,-0.729,WR,2015
3122164,Ronald Monroe,Vanderbilt,7,-0.433,-3.033,-3.033,,WR,2015
552353,Tim DiGiorgio,Temple,1,-0.432,-0.432,,-0.432,QB,2015
