id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
531232,Tyler Matthews,TCU,6,-0.368,-2.209,-1.287,-0.922,QB,2013
529616,D.J. Abnar,Liberty,3,-0.365,-1.095,0.683,-1.778,RB,2013
513677,Corey McCarron,Alabama,1,-0.338,-0.338,-0.338,,TE,2013
546216,Rayvean Moore,New Mexico State,1,-0.335,-0.335,-0.335,,WR,2013
381494,Christian Stewart,BYU,2,-0.334,-0.668,-0.668,,QB,2013
546396,Osirius Burke,San José State,7,-0.333,-2.333,,-2.333,RB,2013
551181,Micah Reed,UCF,7,-0.333,-2.331,,-2.331,RB,2013
512983,Mark Iannotti,Eastern Michigan,1,-0.331,-0.331,-0.331,,QB,2013
545841,Gerald Howse,Georgia State,14,-0.33,-4.622,,-4.622,RB,2013
532274,James Flanders,Tulsa,2,-0.329,-0.658,,-0.658,RB,2013
505319,Ricky Seale,Stanford,11,-0.329,-3.617,,-3.617,RB,2013
536517,Justin Hicks,Houston,18,-0.327,-5.886,0.451,-6.336,RB,2013
550408,Jerin McClendon,Fresno State,1,-0.324,-0.324,-0.324,,TE,2013
539035,Demario Kohn,Air Force,5,-0.32,-1.601,,-1.601,RB,2013
552050,John Thompson,Washington State,2,-0.318,-0.636,-0.636,,WR,2013
535983,Zach Conque,UT San Antonio,1,-0.316,-0.316,,-0.316,QB,2013
530415,Kanler Coker,North Carolina,4,-0.315,-1.26,-0.622,-0.638,QB,2013
509419,Robert Ratliff,Ole Miss,7,-0.309,-2.163,-2.163,,QB,2013
533314,Malin Jones,Northwestern,4,-0.308,-1.231,0.141,-1.372,RB,2013
529583,Lorenzo Taliaferro,Coastal Carolina,13,-0.307,-3.997,-0.304,-3.693,WR,2013
551099,Joey Herrick,Kentucky,4,-0.302,-1.208,1.289,-2.496,WR,2013
532154,Rex Rollins,North Texas,17,-0.3,-5.107,2,-7.106,RB,2013
511979,Melvin Emesibe,UCLA,1,-0.297,-0.297,,-0.297,RB,2013
551308,Altee Tenpenny,Alabama,22,-0.296,-6.517,-0.086,-6.432,RB,2013
512671,Tyler Ervin,San José State,2,-0.295,-0.591,,-0.591,RB,2013
535075,Jamire Westbrook,Miami (OH),8,-0.294,-2.353,0.298,-2.651,RB,2013
514634,Tyler Williams,Akron,6,-0.286,-1.713,-1.713,,WR,2013
512642,Randy Horton,Nevada,1,-0.284,-0.284,-0.284,,TE,2013
511699,Thomas Rawls,Michigan,2,-0.278,-0.556,,-0.556,RB,2013
551276,Alfonso Randolph,Florida International,25,-0.274,-6.855,,-6.855,RB,2013
536220,Nate McLaurin,Nevada,12,-0.27,-3.24,,-3.24,RB,2013
546224,Thomas Sperbeck,Boise State,6,-0.269,-1.612,-1.612,,WR,2013
546510,Omar Stover,Wyoming,10,-0.268,-2.68,,-2.68,RB,2013
546228,Derrick Thomas,Boise State,30,-0.262,-7.849,0.091,-7.94,RB,2013
514827,John Barnes-Smith,East Carolina,2,-0.262,-0.524,,-0.524,RB,2013
504744,Kenny Bassett,Oregon,16,-0.261,-4.177,,-4.177,RB,2013
546714,Derrick Green,Michigan,79,-0.259,-20.461,-1.009,-19.453,RB,2013
535880,Nate Holmes,Arkansas,6,-0.257,-1.541,,-1.541,RB,2013
519979,Shane Coleman,Florida International,10,-0.255,-2.545,,-2.545,RB,2013
515139,Antoinne Jimmerson,North Texas,102,-0.253,-25.769,-0.614,-25.154,RB,2013
501690,D.J. Howard,Clemson,61,-0.247,-15.065,1.692,-16.757,RB,2013
502332,Cody Kater,Central Michigan,7,-0.246,-1.722,-0.998,-0.723,QB,2013
481394,Phillip Butterfield,Arkansas State,2,-0.246,-0.492,0.635,-1.127,QB,2013
481048,Daniel Prior,North Texas,7,-0.246,-1.721,0.065,-1.786,TE,2013
518139,Dustin Garrison,West Virginia,4,-0.242,-0.968,,-0.968,RB,2013
499830,Blake Jurich,San José State,12,-0.24,-2.88,-2.695,-0.184,QB,2013
511941,Remound Wright,Stanford,19,-0.239,-4.546,,-4.546,RB,2013
532124,Brice Dolezal,Texas A&M,22,-0.238,-5.243,-0.558,-4.685,RB,2013
537102,Jeremy Gaskins,Florida Atlantic,2,-0.236,-0.471,,-0.471,RB,2013
535474,Kevin Rodriguez,Marshall,3,-0.235,-0.706,,-0.706,RB,2013
511829,Chandler Shakespeare,Auburn,11,-0.234,-2.576,,-2.576,RB,2013
546062,Aaron Bailey,Illinois,18,-0.234,-4.22,-1.746,-2.474,QB,2013
534529,Jai Steib,Memphis,29,-0.23,-6.681,0.319,-6.999,RB,2013
531747,Jack Fields,Boise State,42,-0.23,-9.643,-0.26,-9.383,RB,2013
500856,Anthony Joyner,New Mexico State,1,-0.228,-0.228,-0.228,,TE,2013
511306,Milton Hall,NC State,9,-0.227,-2.045,,-2.045,RB,2013
503233,Donnell Kirkwood,Minnesota,53,-0.222,-11.791,1.49,-13.28,RB,2013
500364,Corvin Lamb,Louisville,4,-0.218,-0.871,,-0.871,RB,2013
533234,Jazzmar Clax,Connecticut,7,-0.217,-1.517,,-1.517,FB,2013
530691,Cameron Coffman,Indiana,9,-0.215,-1.938,-1.938,,QB,2013
515941,Kody Walker,Arkansas,6,-0.213,-1.276,,-1.276,RB,2013
532976,Ikaika Woolsey,Hawai'i,46,-0.213,-9.8,-11.256,1.457,QB,2013
514737,Kendal Thompson,Oklahoma,16,-0.21,-3.364,-3.679,0.315,QB,2013
501580,Corey Carmichael,Middle Tennessee,27,-0.203,-5.49,-0.603,-4.887,FB,2013
530299,Sean Maguire,Florida State,20,-0.203,-4.063,-5.586,1.523,QB,2013
547241,Tyler Rouse,Boston College,23,-0.201,-4.628,,-4.628,RB,2013
537103,Martese Jackson,Florida Atlantic,7,-0.199,-1.394,,-1.394,RB,2013
517002,Kyle Boehm,California,4,-0.199,-0.797,,-0.797,QB,2013
513325,Dreamius Smith,West Virginia,100,-0.198,-19.758,0.189,-19.946,RB,2013
508212,Rush Hendricks,South Alabama,2,-0.198,-0.397,-0.397,,TE,2013
530330,Dominique Gibson,Wake Forest,59,-0.197,-11.604,4.091,-15.695,RB,2013
535360,Jody Fuller,South Carolina,2,-0.197,-0.395,-0.291,-0.104,WR,2013
502883,Jake Levin,Colorado State,5,-0.194,-0.969,,-0.969,TE,2013
518217,Eric Adams,Duke,3,-0.192,-0.577,,-0.577,RB,2013
530349,Lynx Hawthorne,Baylor,3,-0.19,-0.569,0.806,-1.375,WR,2013
536056,Juwan Lewis,Eastern Michigan,2,-0.189,-0.378,,-0.378,RB,2013
481255,Monterrell Washington,Louisiana Monroe,25,-0.188,-4.706,-0.975,-3.731,RB,2013
551280,Silas Spearman,Florida International,127,-0.186,-23.614,3.314,-26.928,RB,2013
531458,Martez Walker,Central Michigan,11,-0.185,-2.038,0.978,-3.017,RB,2013
504731,Austin Hinder,California,7,-0.182,-1.275,-1.223,-0.052,QB,2013
481752,Jeremy Smith,Oklahoma State,122,-0.182,-22.18,0.37,-22.55,RB,2013
546867,Robert Wheelwright,Wisconsin,1,-0.18,-0.18,-0.18,,WR,2013
547338,Tyrone Swoopes,Texas,30,-0.179,-5.361,-5.987,0.625,QB,2013
531082,Jalen Overstreet,Texas,18,-0.178,-3.203,,-3.203,RB,2013
546017,Teddy Williamson,Ball State,70,-0.177,-12.41,-1.864,-10.545,RB,2013
535521,Michael Cummings,Kansas,11,-0.176,-1.935,0.412,-2.347,QB,2013
537098,Robert Lohnes,Florida Atlantic,2,-0.176,-0.352,0.701,-1.053,WR,2013
537314,Desmon Peoples,Rutgers,7,-0.175,-1.228,-0.152,-1.076,RB,2013
551272,Shug Oyegunle,Florida International,6,-0.172,-1.035,-1.035,,WR,2013
517007,Darren Ervin,California,37,-0.172,-6.369,-0.867,-5.502,RB,2013
530670,Devin Church,Illinois,6,-0.172,-1.034,0.307,-1.341,RB,2013
550203,Grant Niemiec,Miami (OH),32,-0.171,-5.477,0.04,-5.517,TE,2013
500415,Venric Mark,Northwestern,36,-0.17,-6.126,2.545,-8.671,RB,2013
487571,Brandon Murie,Buffalo,7,-0.17,-1.187,,-1.187,RB,2013
514749,Matt Floyd,South Florida,21,-0.169,-3.548,-2.845,-0.703,QB,2013
546098,Nick Byrne,Louisiana,1,-0.167,-0.167,-0.167,,TE,2013
546279,Don Jackson,Nevada,81,-0.167,-13.533,2.696,-16.229,RB,2013
515372,Stephen Fraser,Army,9,-0.167,-1.504,,-1.504,RB,2013
550715,Jack Killian,UNLV,1,-0.165,-0.165,-0.165,,WR,2013
482048,Zurlon Tipton,Central Michigan,61,-0.165,-10.085,-0.14,-9.946,RB,2013
504519,Mike Levandowski,Kent State,1,-0.164,-0.164,-0.164,,TE,2013
536555,Kelvin Lee,Utah State,14,-0.164,-2.299,,-2.299,RB,2013
508159,Kendall Houston,South Alabama,60,-0.163,-9.787,-0.686,-9.1,RB,2013
549956,Bryant Shirreffs,NC State,36,-0.161,-5.812,-3.517,-2.295,QB,2013
549802,Darius Tice,South Florida,35,-0.16,-5.608,-0.151,-5.457,RB,2013
514162,Zack Langer,Tulsa,15,-0.16,-2.402,1.093,-3.494,RB,2013
512362,Harley Scioneaux,Louisiana Monroe,16,-0.158,-2.523,-2.523,,TE,2013
515427,Chris Nutall,Texas State,42,-0.158,-6.622,3.595,-10.218,RB,2013
552650,Austin Green,Miami (OH),5,-0.156,-0.782,0.207,-0.989,WR,2013
535495,Devin Chafin,Baylor,47,-0.156,-7.324,,-7.324,RB,2013
501364,Travis Evans,Georgia State,109,-0.155,-16.851,3.522,-20.373,RB,2013
552645,Lorenzo Woodley,UMass,87,-0.154,-13.439,1.121,-14.56,RB,2013
482262,Nick Sizemore,Kansas,1,-0.154,-0.154,,-0.154,TE,2013
505644,Javonti Greene,Eastern Michigan,39,-0.153,-5.985,0.385,-6.37,RB,2013
534863,Austin Apodaca,Washington State,45,-0.153,-6.894,-7.499,0.604,QB,2013
550864,Terrell Smith,Texas State,2,-0.152,-0.304,-0.304,,WR,2013
548436,Marcus Cox,Appalachian State,25,-0.152,-3.812,-0.219,-3.594,RB,2013
545840,Kyler Neal,Georgia State,24,-0.147,-3.517,2.367,-5.883,RB,2013
532065,Nathan Peterman,Tennessee,25,-0.141,-3.534,-2.63,-0.904,QB,2013
550366,Rodney Hall,Texas Tech,1,-0.14,-0.14,,-0.14,RB,2013
512840,Savon Huggins,Rutgers,92,-0.139,-12.813,-0.685,-12.128,RB,2013
480520,Damien Thigpen,UCLA,20,-0.139,-2.783,1.367,-4.15,RB,2013
505596,Jauan Latney,James Madison,4,-0.139,-0.558,,-0.558,RB,2013
551146,Jamir Tillman,Navy,3,-0.138,-0.414,-0.414,,WR,2013
547176,Aofaga Wily,Hawai'i,13,-0.138,-1.788,0.964,-2.751,RB,2013
515500,Terenn Houk,BYU,2,-0.137,-0.275,-0.275,,WR,2013
481710,Andrew Maxwell,Michigan State,35,-0.137,-4.788,-5.558,0.77,QB,2013
534755,Frederick Gammage,Arizona State,6,-0.132,-0.791,-0.791,,WR,2013
503611,Shawn Lynch,Navy,7,-0.131,-0.919,1.589,-2.508,WR,2013
546753,Cris Dinham,South Alabama,52,-0.131,-6.811,2.241,-9.052,RB,2013
546423,Robby Kolanz,USC,1,-0.13,-0.13,-0.13,,WR,2013
482555,Mitch Singler,Oregon State,1,-0.129,-0.129,-0.129,,WR,2013
514294,Spencer Treadwell,Miami (OH),51,-0.124,-6.325,1.822,-8.147,RB,2013
547172,Diocemy Saint Juste,Hawai'i,54,-0.124,-6.71,-0.923,-5.787,RB,2013
536030,Michael Pierre,South Florida,45,-0.124,-5.602,4.537,-10.139,RB,2013
