id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
3125943,Andrew Libby,UMass,1,-3.098,-3.098,-3.098,,FB,2016
3139981,DJ Nelson,Utah State,1,-2.237,-2.237,-2.237,,WR,2016
3124850,Emiere Scaife,Georgia State,2,-2.004,-4.009,,-4.009,TE,2016
3914577,Peyton Hall,UT San Antonio,1,-1.93,-1.93,,-1.93,WR,2016
3923387,Tyler Pippens,South Florida,1,-1.859,-1.859,-1.859,,RB,2016
4046825,Jack Swinney,Clemson,1,-1.78,-1.78,-1.78,,WR,2016
3915493,Jake Johnson,Central Michigan,1,-1.743,-1.743,-1.743,,QB,2016
4036449,Mykel Golden,Appalachian State,1,-1.699,-1.699,,-1.699,WR,2016
546250,Sammie Long IV,Colorado State,1,-1.505,-1.505,-1.505,,WR,2016
4052232,Allan Cui Iii,UNLV,1,-1.279,-1.279,-1.279,,WR,2016
3125157,Joshua Walker,Navy,3,-1.275,-3.825,,-3.825,FB,2016
529507,Canon Smith,Liberty,2,-1.25,-2.499,-2.499,,WR,2016
4047326,Taeler Dowdy,Tennessee,1,-1.223,-1.223,,-1.223,RB,2016
3915289,Ben Glines,Boston College,2,-1.18,-2.36,-2.36,,RB,2016
534371,Kendrick Mathis,San Diego State,1,-1.168,-1.168,,-1.168,WR,2016
4036896,Allan Cui III,UNLV,1,-1.161,-1.161,-1.161,,WR,2016
3126298,Randall Smith,Tulsa,1,-1.153,-1.153,-1.153,,WR,2016
3871873,Jack Click,Virginia Tech,2,-1.124,-2.249,-0.911,-1.338,QB,2016
3922123,King Burke,New Mexico State,1,-1.12,-1.12,,-1.12,RB,2016
3918031,Chad Artist,Utah State,1,-1.096,-1.096,-1.096,,WR,2016
3139059,Luke Wright,Kentucky,4,-1.038,-4.153,-4.153,,QB,2016
534466,Daniel Brooks,Oklahoma,2,-1.018,-2.036,,-2.036,RB,2016
4038938,Dillon Mitchell,Oregon,5,-0.963,-4.814,-4.814,,WR,2016
546733,Corey Acker,Northwestern,4,-0.888,-3.554,,-3.554,RB,2016
3139382,Connor Osborne,TCU,1,-0.843,-0.843,,-0.843,WR,2016
4046540,Tru Wilson,Michigan,1,-0.829,-0.829,,-0.829,RB,2016
3917793,Quentin Harris,Duke,6,-0.786,-4.717,-4.495,-0.222,QB,2016
3915501,Damon Terry,Central Michigan,3,-0.772,-2.317,-2.317,,WR,2016
3930302,Tuli Wily-Matagi,Oregon State,1,-0.752,-0.752,-0.752,,TE,2016
4044143,Randle Jones,Temple,2,-0.73,-1.46,,-1.46,WR,2016
4040419,Bobby Holly,Louisiana Tech,3,-0.715,-2.145,,-2.145,FB,2016
559706,Damian Lewis,Auburn,8,-0.712,-5.698,,-5.698,RB,2016
545930,Darius Phillips,Western Michigan,1,-0.703,-0.703,-0.703,,WR,2016
3933339,Deshawn Applewhite,South Alabama,1,-0.702,-0.702,-0.702,,WR,2016
545834,Darrin Laufasa,UTEP,8,-0.7,-5.601,-1.406,-4.195,RB,2016
3915984,Jelani Roberts,Northwestern,3,-0.699,-2.096,,-2.096,WR,2016
3921567,Colton Plante,Florida State,1,-0.692,-0.692,,-0.692,FB,2016
3115970,Joe Hewlett,Michigan,2,-0.669,-1.339,,-1.339,RB,2016
531864,Colin Reardon,Kent State,3,-0.665,-1.996,-1.536,-0.461,WR,2016
3134011,Zach Werlinger,Arizona,7,-0.636,-4.449,-4.045,-0.404,QB,2016
4040795,Isaiah McIntyre,New Mexico State,1,-0.625,-0.625,-0.625,,WR,2016
4040721,Avery Reid,Alabama,2,-0.616,-1.232,,-1.232,RB,2016
3892705,Joe Beneducci,Michigan,1,-0.613,-0.613,,-0.613,FB,2016
3915383,Michael Lacey,Tennessee,1,-0.605,-0.605,,-0.605,WR,2016
3928921,Dwyer Bucey,Baylor,3,-0.605,-1.815,,-1.815,RB,2016
551998,Sean Mac Lain,Clemson,2,-0.596,-1.192,-1.192,,WR,2016
3122892,Max Linder,Middle Tennessee,3,-0.591,-1.774,-1.774,,TE,2016
3895828,Anthony Ratliff-Williams,North Carolina,8,-0.569,-4.555,-1.751,-2.805,WR,2016
3929858,Tristian Houston,Texas,3,-0.561,-1.684,,-1.684,RB,2016
3072636,Keegan Metcalf,Oklahoma State,1,-0.558,-0.558,,-0.558,FB,2016
535916,Mark Herndon,Florida,4,-0.555,-2.219,-2.309,0.09,RB,2016
3140639,Giovanni Gentosi,UCLA,1,-0.555,-0.555,-0.555,,RB,2016
531056,Connor Brewer,Virginia,14,-0.555,-7.768,-7.768,,QB,2016
3949058,Travon Williams,Temple,2,-0.554,-1.108,,-1.108,WR,2016
4044527,Malik Lee,UMass,3,-0.554,-1.661,0.358,-2.019,FB,2016
4035670,Devonta'e Henry-Cole,Utah,1,-0.549,-0.549,,-0.549,RB,2016
3138735,Frank Nutile,Temple,2,-0.537,-1.075,-1.075,,QB,2016
3930360,Joseph Paden,SMU,1,-0.53,-0.53,,-0.53,RB,2016
3892693,Tyler Queen,Auburn,1,-0.526,-0.526,,-0.526,QB,2016
535318,Jeff Lindquist,Washington,1,-0.517,-0.517,-0.517,,TE,2016
3135829,Brady Bodine,NC State,3,-0.514,-1.541,,-1.541,RB,2016
3123790,LaBaron Anthony,Georgia Southern,8,-0.512,-4.1,-4.215,0.115,QB,2016
545432,Drake Kulick,Iowa,1,-0.504,-0.504,,-0.504,FB,2016
3915406,Jahrvis Davenport,Maryland,1,-0.499,-0.499,-0.499,,WR,2016
4040640,Darius Bradwell,Tulane,8,-0.498,-3.983,,-3.983,RB,2016
4038715,Dacoven Bailey,Rutgers,6,-0.497,-2.979,-1.045,-1.934,WR,2016
3126299,Brodrick Umblance,Tulsa,1,-0.492,-0.492,-0.492,,WR,2016
533607,Mitchell Kirsch,James Madison,1,-0.488,-0.488,-0.488,,WR,2016
3895857,Damion Ratley,Texas A&M,5,-0.483,-2.415,-2.415,,WR,2016
3917144,Jake Easter,Appalachian State,1,-0.481,-0.481,,-0.481,WR,2016
3914812,Dominic Christian,Nevada,1,-0.479,-0.479,-0.479,,WR,2016
4046354,Shawndarrius Phillips,Florida International,7,-0.475,-3.326,,-3.326,RB,2016
545266,Sean Avant,Syracuse,1,-0.463,-0.463,-0.463,,WR,2016
3915379,Sheriron Jones,Tennessee,1,-0.462,-0.462,-0.462,,QB,2016
3915496,Jay Roberson,Central Michigan,6,-0.458,-2.747,-0.796,-1.952,TE,2016
3914582,Brett Winnegan,UT San Antonio,2,-0.458,-0.917,,-0.917,WR,2016
537190,Preston Miller,TCU,3,-0.444,-1.331,,-1.331,WR,2016
3929916,J.C. Robles,Colorado State,1,-0.44,-0.44,,-0.44,QB,2016
3916906,Kendrick Jackson,Arkansas,2,-0.431,-0.863,-0.386,-0.477,FB,2016
3917179,Jamal Jones,Arkansas State,3,-0.429,-1.286,,-1.286,RB,2016
550772,PaulAndrew Rhoden,Army,3,-0.424,-1.272,,-1.272,RB,2016
